"practice_id","practice_name","phone","street","city","state","zip_code","website","location_count","source","source_url","call_attempted","call_scenario","call_completed","call_datetime","working_hours_entrypoint","after_hours_entrypoint","working_hours_scheduler_endpoint","after_hours_scheduler_endpoint","confidence"
"1023011285","QUEENS MEDICAL IMAGING, PC","7185445100","6915 AUSTIN ST","FOREST HILLS","NY","11375","https://nyulangone.org/locations/nyu-langone-radiology-queens-medical-imaging","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1023011285","Y","D","Y","14:20","","Human","Human","Human","H"
"1346594652","ST. CHARLES ORTHOPAEDIC SURGERY ASSOCIATES, INC.","6365615030","5301 VETERANS MEMORIAL PKWY STE 104","SAINT PETERS","MO","63376","null","2","nppes","https://npiregistry.cms.hhs.gov/provider-view/1346594652","Y","B","Y","14:26","IVR","","Human","","H"
"1639172745","TRI COUNTY ORTHOPEDIC SURGEONS INCORPORATED","3308378391","3244 BAILEY ST NW","MASSILLON","OH","44646","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1639172745","Y","C","Y","14:31","","IVR","","Human","H"
"1720081870","ORTHOPAEDIC AMBULATORY SURGICAL INTERVENTION SERVICES, LLC","3304989898","7000 WHIPPLE AVE NW","CANTON","OH","44720","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1720081870","Y","D","Y","14:35","","Human","","Human","H"
"1982607800","ORTHOPRO OF RENO, INC.","7753241443","3195 MILL ST","RENO","NV","89502","https://www.oandpreno.com/","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1982607800","Y","A","Y","14:38","IVR","","Human","","H"
"1851394696","AFFILIATED SURGEONS OF ROCKFORD LLC","8159643333","2300 N ROCKTON AVE STE 304","ROCKFORD","IL","61103","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1851394696","Y","B","Y","14:43","IVR","","Human","","H"
"1669475539","AXTELL ORTHOPEDICS PA","3162839977","800 MEDICAL CENTER DR SUITE 240","NEWTON","KS","67114","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1669475539","Y","B","Y","14:48","IVR","","Human","","H"
"1386647287","FORWARD ORTHOPEDICS, S.C.","2622575860","W180N8085 TOWN HALL RD","MENOMONEE FALLS","WI","53051","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1386647287","Y","B","Y","14:54","Human","","Human","","M"
"1760485528","NWIA BONE, JOINT & SPORTS SURGEONS, PC","7122627511","1200 1ST AVE E STE C","SPENCER","IA","51301","http://nwiabone.com/","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1760485528","Y","A","Y","14:57","IVR","","Human","Human","M"
"1518273085","TRIA ORTHOPAEDIC CENTER LLC","9528318742","8100 NORTHLAND DR","BLOOMINGTON","MN","55431","null","3","nppes","https://npiregistry.cms.hhs.gov/provider-view/1518273085","Y","D","Y","15:00","","IVR","","Human","H"
"1003819988","CARMEL ORTHOPEDIC & SPORTS THERAPY","8316200744","245 CROSSROADS BLVD","CARMEL","CA","93923","null","2","nppes","https://npiregistry.cms.hhs.gov/provider-view/1003819988","Y","A","Y","15:03","IVR","","Human","","H"
"1275536153","BECKER ORTHOPEDIC APPLIANCE COMPANY","2483990030","28801 WOODWARD AVE","BERKLEY","MI","48072","null","5","nppes","https://npiregistry.cms.hhs.gov/provider-view/1275536153","Y","D","Y","15:07","","IVR","","Human","H"
"1083617625","ORTHOPAEDIC AND SPORTS MEDICINE CENTER LLC","4102688862","108 FORBES ST","ANNAPOLIS","MD","21401","null","4","nppes","https://npiregistry.cms.hhs.gov/provider-view/1083617625","Y","C","Y","15:11","","Human","","Human","H"
"1932102506","YOUNGSTOWN ORTHOPAEDIC ASSOCIATES LTD","3307580577","8591 CROSSROADS DRIVE","YOUNGSTOWN","OH","44514","http://www.youngstownortho.com/?utm_source=GMBSocialClimb&utm_medium=YoungstownOrthopaedicAssociates","3","nppes","https://npiregistry.cms.hhs.gov/provider-view/1932102506","Y","D","Y","15:15","","Human","Human","Human","H"
"1881757425","RIVER CITY ORTHOPAEDIC SURGEONS, PSC","5029358061","9300 STONESTREET RD SUITE 200","LOUISVILLE","KY","40272","http://nortonhealthcare.com/","2","nppes","https://npiregistry.cms.hhs.gov/provider-view/1881757425","Y","D","Y","15:21","","Human","Human","Human","H"
"1053314625","SOUTH COUNTY ORTHOPEDIC SPECIALISTS","9495863200","24331 EL TORO RD STE 200","LAGUNA WOODS","CA","92637","http://www.scosortho.com/?utm_source=GMBSocialClimb&utm_medium=SouthCountyOrthopedicSpecialists","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1053314625","Y","B","Y","15:27","IVR","","Human","Human","H"
"1639172331","JOINT ACTIVE SYSTEMS, INC","2173423412","2600 S RANEY ST","EFFINGHAM","IL","62401","https://jointactivesystems.com/","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1639172331","Y","C","Y","15:30","","IVR","","Human","H"
"1245233642","WILLIAMSPORT ORTHOPEDIC & PROSTHETIC COMPANY INC","5703225277","251 PENN ST STE 1","WILLIAMSPORT","PA","17701","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1245233642","Y","D","Y","15:37","","IVR","","Human","H"
"1104829514","UNIVERSITY ORTHOPAEDIC CONSULTANTS OF CINCINNTI, INC.","5134758690","222 PIEDMONT AVE STE 2200","CINCINNATI","OH","45219","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1104829514","Y","C","Y","15:43","","IVR","","Human","H"
"1588667950","NEBRASKA SPINE CENTER, LLP","4024960404","13616 CALIFORNIA ST STE 100","OMAHA","NE","68154","https://www.nebraskaspineandpain.com/?utm_source=google&utm_medium=organic&utm_campaign=gmbwebsite","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1588667950","Y","C","Y","15:48","","Human","Human","Human","H"
"1174526487","SPECIALTY ORTHOPAEDICS PSC","5027218288","6400 DUTCHMANS PKWY STE 215","LOUISVILLE","KY","40205","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1174526487","Y","C","N","15:52","","IVR","","Human","L"
"1588667828","SCOTTSBLUFF ORTHOPAEDIC ASSOCIATES, P.C.","3086351414","2 W 42ND ST STE 120","SCOTTSBLUFF","NE","69361","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1588667828","Y","D","N","15:58","","IVR","","Human","L"
"1578566816","SUNNY HILLS ORTHOPEDIC SERVICES INC.","7147384769","332 E COMMONWEALTH AVE","FULLERTON","CA","92832","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1578566816","Y","A","Y","16:03","Human","","Human","","M"
"1568465805","PARAGON ORTHOPEDIC CENTER, PC","5414720603","702 RAMSEY AVE STE 112","GRANTS PASS","OR","97527","https://www.paragonorthopedic.com/","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1568465805","Y","B","Y","16:08","IVR","","Human","","H"
"1497757637","ORTHOPAEDIC ASSOCIATES OF CENTRAL MD, PA","4106441880","3421 BENSON AVENUE SUITE 100","BALTIMORE","MD","21227","null","2","nppes","https://npiregistry.cms.hhs.gov/provider-view/1497757637","Y","C","Y","16:11","","IVR","","Human","H"
"1104828342","ORTHOPEDIC APPLIANCE CO INC","8282546305","75 VICTORIA RD","ASHEVILLE","NC","28801","https://orthopedicapplianceco.com/","3","nppes","https://npiregistry.cms.hhs.gov/provider-view/1104828342","Y","D","Y","16:16","","IVR","Human","Human","H"
"1538163878","ORTHOPROS INC","3108287485","2021 SANTA MONICA BLVD STE 104E","SANTA MONICA","CA","90404","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1538163878","Y","B","Y","16:19","IVR","","Human","","H"
"1467454504","APPALACHIAN ORTHOPEDIC CENTER, LTD","7172496112","1 DUNWOODY DR","CARLISLE","PA","17015","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1467454504","Y","C","Y","16:23","","IVR","","Human","H"
"1447413612","TEXAS ORTHOPEDICS, SPORTS & REHABILITATION ASSOCIATES, PA","5124391000","911 WEST 38TH ST SUITE 300","AUSTIN","TX","78705","https://www.txortho.com/locations/northwest-austin/?utm_source=GMBSocialClimb&utm_medium=TexasOrthopedics","9","nppes","https://npiregistry.cms.hhs.gov/provider-view/1447413612","Y","D","Y","16:27","","IVR","Human","Human","H"
"1649272881","ORTHOPAEDIC ASSOCIATES OF CENTRAL MARYLAND AMBULATORY SRGCL CTR LLC","4106441880","3421 BENSON AVE STE G200","BALTIMORE","MD","21227","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1649272881","Y","D","Y","16:31","","IVR","","Human","H"
"1053313262","SYLVA ORTHOPAEDIC ASSOCIATES, PA","8285865531","80 HEALTHCARE DR STE 203","SYLVA","NC","28779","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1053313262","Y","D","Y","16:34","","Human","","Human","H"
"1538163563","AMKEN ORTHOPEDICS, INC.","5169339255","299 DUFFY AVE STE B","HICKSVILLE","NY","11801","null","6","nppes","https://npiregistry.cms.hhs.gov/provider-view/1538163563","Y","C","Y","16:37","","IVR","","Human","H"
"1356345318","NEBRASKA ORTHOPAEDIC HOSPITAL LLC","4026370600","2808 SOUTH 143RD PLAZA","OMAHA","NE","68144","null","3","nppes","https://npiregistry.cms.hhs.gov/provider-view/1356345318","Y","C","Y","16:43","","Human","","Human","H"
"1467456277","JEFFREY F. LINDER, MD PA","5616276808","4285 E MAIN ST","JUPITER","FL","33458","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1467456277","Y","B","Y","11:05","Human","","Human","","M"
"1265436075","CAPITAL ORTHOPAEDIC & SPORTS MEDICINE CENTER, PA","9198768300","1108 DRESSER CT","RALEIGH","NC","27609","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1265436075","Y","A","N","11:09","IVR","","Human","","L"
"1255335048","ORTHOPAEDIC PHYSICAL THERAPY AND ASSOCIATES INC.","5137333370","1200 GLENDALE MILFORD RD","CINCINNATI","OH","45215","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1255335048","Y","B","N","11:16","IVR","","Human","","L"
"1164426821","DREHER ORTHOPEDIC INDUSTRIES, INC.","7088484646","214 CHICAGO AVE","OAK PARK","IL","60302","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1164426821","Y","B","Y","11:21","IVR","","Human","","H"
"1891799490","PROLIANCE SURGEONS, INC., P.S.","2535827257","7308 BRIDGEPORT WAY W STE 201","LAKEWOOD","WA","98499","null","39","nppes","https://npiregistry.cms.hhs.gov/provider-view/1891799490","Y","A","Y","11:27","IVR","","Human","","H"
"1538163092","CENTRAL NEBRASKA ORTHOPEDICS & SPORTS MEDICINE, P.C.","3083845400","620 N DIERS AVE STE 200","GRAND ISLAND","NE","68803","http://www.cnorthopedics.com/","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1538163092","Y","A","Y","11:33","IVR","","Human","Human","H"
"1457355976","CARLOW ORTHOPEDIC AND PROSTHETICS, INC","4017386450","1580 PONTIAC AVENUE","CRANSTON","RI","2920","http://www.neops.com/","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1457355976","Y","A","Y","11:40","IVR","","Human","","H"
"1033114301","HANOVER ORTHOPAEDIC ASSOCIATES,INC","7176325259","207 BLOOMING GROVE RD","HANOVER","PA","17331","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1033114301","Y","B","Y","11:44","IVR","","Human","","H"
"1710982046","JOINT CITY COUNTY BOARD OF HEALTH","7858266600","125 W ELM ST","SALINA","KS","67401","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1710982046","Y","B","Y","11:50","Human","","Human","","M"
"1336144732","LIMA MEMORIAL JOINT OPERATING COMPANY","4192265165","1001 BELLEFONTAINE AVE","LIMA","OH","45804","http://limamemorial.org/","2","nppes","https://npiregistry.cms.hhs.gov/provider-view/1336144732","Y","A","Y","11:56","Human","","Human","Human","M"
"1912902255","ORTHOPEDIC REHABILITATION PRODUCTS","7205240950","5895 E EVANS AVE STE 102","DENVER","CO","80222","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1912902255","Y","B","Y","12:00","Human","","Human","","M"
"1144225426","DESERT TRAUMA SURGEONS, INC.","5624327175","1050 LINDEN AVE","LONG BEACH","CA","90813","http://desertsurgeons.org/","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1144225426","Y","A","Y","12:07","Human","","Human","","M"
"1750577656","CINCINNATI SPORTSMEDICINE AND ORTHOPAEDIC CENTER, INC.","5133479999","6350 GLENWAY AVE SUITE 415","CINCINNATI","OH","45211","https://www.mercy.com/locations/specialty-locations/orthopedics-sports-medicine-spine/mercy-health-cincinnati-sportsmedicine-and-orthopaedic-center-bridgetown","5","nppes","https://npiregistry.cms.hhs.gov/provider-view/1750577656","Y","B","Y","12:10","IVR","","Human","Human","H"
"1639174873","INDIANA ORTHOPEDICS, INC","2199242044","437 N BROAD ST","GRIFFITH","IN","46319","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1639174873","Y","B","Y","12:17","IVR","","Human","","H"
"1184629222","WENSLEY ORTHO LABS, INC","3366593595","1531 WESTBROOK PLAZA DR STE K","WINSTON SALEM","NC","27103","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1184629222","Y","A","Y","12:20","Human","","Human","","M"
"1124023288","ORTHOPAEDIC GROUP OF WESTERN MARYLAND","3017247146","925 SETON DR","CUMBERLAND","MD","21502","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1124023288","Y","A","Y","12:23","IVR","","Human","","H"
"1902801996","KENNEY ORTHOPEDIC, LLC","8593730208","449 LEWIS HARGETT CIR STE 110","LEXINGTON","KY","40503","https://hangerclinic.com/clinics/KY/lexington/lewis-hargett-cir/","3","nppes","https://npiregistry.cms.hhs.gov/provider-view/1902801996","Y","A","Y","12:28","Human","","Human","Human","M"
"1225033145","THE ORTHOPEDIC STORE","2103662990","1211 ARION PKWY SUITE 100","SAN ANTONIO","TX","78216","null","4","nppes","https://npiregistry.cms.hhs.gov/provider-view/1225033145","Y","A","Y","12:32","IVR","","Human","","M"
"1700881638","PORTLAND ORTHOPAEDIC FOOT AND ANKLE CENTER","2077743338","254 WESTERN AVE","SOUTH PORTLAND","ME","4106","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1700881638","Y","A","N","12:38","Human","","Human","","M"
"1821093683","ORTHOPAEDIC SURGERY AND SPORTS MEDICINE ASSOCIATES, L.L.P.","3618832000","6118 PARKWAY DR.","CORPUS CHRISTI","TX","78414","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1821093683","Y","B","N","12:44","IVR","","Human","","L"
"1720083488","BRIAN L. PATTERSON","3618832000","6118 PARKWAY DR.","CORPUS CHRISTI","TX","78414","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1720083488","Y","B","N","12:47","IVR","","Human","","L"
"1285639062","OHIO ORTHOPEDIC SURGERY INSTITUTE LLC","6148278777","4605 SAWMILL RD STE 101","COLUMBUS","OH","43220","http://oosi.ohio-ortho-surg.com/","2","nppes","https://npiregistry.cms.hhs.gov/provider-view/1285639062","Y","A","Y","12:54","IVR","","Human","","M"
"1336144120","NYCONN ORTHOPAEDIC & REHABALITATION SPECIALISTS, PLLC","2033258888","31 STRAWBERRY HILL AVE","STAMFORD","CT","6902","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1336144120","Y","B","Y","12:57","IVR","","Human","","H"
"1689679284","ORTHOSCRIPT INC","6788021780","1225 OLD ALPHARETTA RD STE 280","ALPHARETTA","GA","30005","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1689679284","Y","A","Y","13:02","IVR","","Human","","M"
"1831194448","BLOUNT ORTHOPAEDIC ASSOCIATES, S.C.","4143326262","525 W. RIVER WOODS PARKWAY SUITE 100","GLENDALE","WI","53212","http://www.blountortho.com/","2","nppes","https://npiregistry.cms.hhs.gov/provider-view/1831194448","Y","A","Y","13:09","IVR","","Human","","H"
"1164427787","HEALTHTEXAS PROVIDER NETWORK-ORTHOPEDIC SERVICES, LLP","2148277565","6435 S FM 549 STE 201","HEATH","TX","75032","null","2","nppes","https://npiregistry.cms.hhs.gov/provider-view/1164427787","Y","A","Y","13:12","IVR","","Human","","H"
"1528063120","BREVARD ORTHOPAEDICS, PA","8288842055","316 CHESTNUT ST STE. 2","BREVARD","NC","28712","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1528063120","Y","B","Y","13:15","IVR","","Human","","H"
"1225033715","ORTHOPEDIC ASSOCIATES OF DULUTH, P.A.","2187229753","1000 E 1ST ST STE 404","DULUTH","MN","55805","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1225033715","Y","A","Y","13:22","Human","","Human","","M"
"1699770198","ORTHOPAEDIC SERVICES OF PADUCAH INC","2704440948","2021 BROADWAY ST STE 2","PADUCAH","KY","42001","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1699770198","Y","A","Y","13:28","IVR","","Human","","H"
"1790781235","LAKE REGION BONE & JOINT SURGEONS","2187519746","3807 GREENLEAF AVE NW","BEMIDJI","MN","56601","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1790781235","Y","A","Y","13:34","IVR","","Human","","H"
"1225382633","EAST HOUSTON ORTHOPEDICS & SPORTS MEDICINE PA","2814877300","4500 E SAM HOUSTON PKWY S 120","PASADENA","TX","77505","null","2","nppes","https://npiregistry.cms.hhs.gov/provider-view/1225382633","Y","A","Y","13:37","IVR","","Human","","H"
"1710983200","ORTHOPEDIC SPECIALISTS & SPORTS MEDICINE, INC.","7407889220","2750 NEWARK GRANVILLE RD","GRANVILLE","OH","43023","https://www.ossmnewark.com/?utm_source=gbp&utm_medium=referral","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1710983200","Y","A","Y","13:42","IVR","","Human","Human","M"
"1598761090","MOUNTAIN VIEW FOOT AND ANKLE SPECIALISTS INC","4357239700","1030 S MEDICAL DR STE A","BRIGHAM CITY","UT","84302","null","4","nppes","https://npiregistry.cms.hhs.gov/provider-view/1598761090","Y","A","Y","13:49","IVR","","Human","","M"
"1659377083","ADVANCED ORTHOPAEDIC ASSOCIATES OF PA","6102809999","479 THOMAS JONES WAY STE 300","EXTON","PA","19341","null","2","nppes","https://npiregistry.cms.hhs.gov/provider-view/1659377083","Y","A","Y","13:55","Human","","Human","","M"
"1326044710","MICHAEL M BOUSTANY MD INC","3043437557","415 MORRIS ST STE 105","CHARLESTON","WV","25301","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1326044710","Y","C","Y","14:00","","IVR","","Human","H"
"1720084981","LEXINGTON ORTHOPEDIC CLINIC PA","3362492978","510 EMERGENCY DR","LEXINGTON","NC","27292","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1720084981","Y","D","Y","14:05","","Human","","Human","H"
"1912903261","EFFINGHAM ORTHOPEDIC CLINIC SC","2173475305","802 E JEFFERSON AVE","EFFINGHAM","IL","62401","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1912903261","Y","B","Y","14:12","IVR","","Human","","H"
"1164428223","WAYZATA ORTHOPEDIC'S P.A.","7633830770","2805 CAMPUS DR STE 425","PLYMOUTH","MN","55441","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1164428223","Y","B","Y","14:18","IVR","","Human","","H"
"1952307092","THE SPINE CENTER, S.C","8476989330","1875 DEMPSTER ST STE 425","PARK RIDGE","IL","60068","https://www.chicagospine.net/","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1952307092","Y","B","Y","14:22","Human","","Human","Human","M"
"1306842257","ORTHOPTIC'S INC.","5048859121","3939 HOUMA BLVD BLDG 5, SUITE 17","METAIRIE","LA","70006","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1306842257","Y","A","Y","14:26","IVR","","Human","","H"
"1336145283","SHORE ORTHOPEDIC & ATHLETIC REHABILITATION, PA","7324492001","2123 HIGHWAY 35","SEA GIRT","NJ","8750","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1336145283","Y","D","Y","14:32","","IVR","","Human","M"
"1982600862","MEDICAL SERVICE ASSOCIATES OF XENIA INC","9373727691","50 N PROGRESS DR","XENIA","OH","45385","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1982600862","Y","C","N","14:36","","IVR","","Human","L"
"1770589418","EAST BAY SPINE SPECIALISTS INC A MEDICAL CORPORATION","9254693120","5725 W LAS POSITAS BLVD STE 200","PLEASANTON","CA","94588","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1770589418","Y","B","Y","14:39","Human","","Human","","M"
"1578830790","ST. CROIX ORTHOPAEDICS, P.A.","6514398807","1701 CURVE CREST BLVD W STE. 104","STILLWATER","MN","55082","null","7","nppes","https://npiregistry.cms.hhs.gov/provider-view/1578830790","Y","B","Y","14:45","Human","","Human","","M"
"1558313767","ORTHOPAEDIC SPECIALTY GROUP, P.C.","2033372600","305 BLACK ROCK TPKE","FAIRFIELD","CT","6825","https://www.osgpc.com/fairfield/?utm_source=GMB&utm_medium=organic&utm_campaign=fairfield","3","nppes","https://npiregistry.cms.hhs.gov/provider-view/1558313767","Y","C","Y","14:49","","Human","Human","Human","H"
"1366448037","EAST LANSING ORTHOPEDIC ASSOCIATION P C","5173943200","3394 E JOLLY RD STE A","LANSING","MI","48910","http://eloaortho.com/","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1366448037","Y","D","N","14:53","","IVR","Human","Human","L"
"1336145143","MASTER ORTHOPEDIC INC","7879823393","CALLE LOISA SUITE 1811","SANTURCE","PR","911","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1336145143","Y","C","N","14:56","","IVR","","Human","L"
"1578569273","HAND AND RECONSTRUCTIVE SURGEONS INC","9374354263","2350 MIAMI VALLEY DR STE 310","DAYTON","OH","45459","https://www.premierhealth.com/hand-and-reconstructive-surgeons-and-associates?utm_source=gmb&utm_medium=website&utm_campaign=kyruussoci","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1578569273","Y","D","N","14:59","","IVR","Human","Human","L"
"1740287374","THE COLUMBUS ORTHOPAEDIC CLINIC, P.A.","6623281012","670 LEIGH DR","COLUMBUS","MS","39705","https://columbusortho.com/","7","nppes","https://npiregistry.cms.hhs.gov/provider-view/1740287374","Y","C","N","15:06","","IVR","Human","Human","L"
"1811993405","JOHN C. KEFALAS, M.D.,S.C.","2174252600","2905 N MAIN ST SUITE G","DECATUR","IL","62526","https://www.cibjc.com/aboutus.php","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1811993405","Y","C","N","15:12","","IVR","Human","Human","L"
"1265438857","VALLEY ORTHOPEDIC INC","5592211933","3520 E SHIELDS AVE # 102","FRESNO","CA","93726","null","3","nppes","https://npiregistry.cms.hhs.gov/provider-view/1265438857","Y","B","N","15:15","Human","","Human","","M"
"1174520787","ORTHOPAEDIC AND SPORTS MEDICINE CENTER LLP","7855374200","1600 CHARLES PL","MANHATTAN","KS","66502","http://www.kansasortho.com/?utm_medium=Orthopaedic&SportsMedicineCenter","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1174520787","Y","C","N","15:21","","Human","Human","Human","L"
"1972500304","ORTHOPEDIC ASSOCIATES OF HARTFORD,PC","8605493210","31 SEYMOUR STREET SUITE 100","HARTFORD","CT","6106","https://oahct.com/?utm_source=gmb&utm_medium=yext","17","nppes","https://npiregistry.cms.hhs.gov/provider-view/1972500304","Y","D","N","15:24","","Human","Human","Human","L"
"1851606370","TMC ORTHOPEDIC, LP","7136691800","1000 S LOOP W SUITE 150","HOUSTON","TX","77054","null","6","nppes","https://npiregistry.cms.hhs.gov/provider-view/1851606370","Y","D","Y","15:27","","Human","","Human","H"
"1508863952","NEW CASTLE ORTHOPEDIC SURGICAL ASSOCIATES","7246526637","2602 WILMINGTON RD SUITE 102","NEW CASTLE","PA","16105","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1508863952","Y","C","Y","15:30","","Human","","Human","H"
"1578560900","INSTITUTE FOR BONE & JOINT DISORDERS PC","6027780900","2222 E HIGHLAND AVE SUITE 130, 400","PHOENIX","AZ","85016","null","1","nppes","https://npiregistry.cms.hhs.gov/provider-view/1578560900","Y","B","Y","15:34","Human","","Human","","M"
"1982739991","AMERICAN LIMB & ORTHOPEDIC CO.","2195317479","201 MORTHLAND DR","VALPARAISO","IN","46383","https://www.americanlimbvalparaiso.com/","3","nppes","https://npiregistry.cms.hhs.gov/provider-view/1982739991","Y","C","Y","15:39","","IVR","","Human","H"
"1073538401","ORTHOPAEDICS OF STEAMBOAT SPRINGS PC","9704390800","705 MARKETPLACE PLZ","STEAMBOAT SPRINGS","CO","80487","null","4","nppes","https://npiregistry.cms.hhs.gov/provider-view/1073538401","Y","B","Y","15:45","IVR","","Human","","H"
